ROI,PN,Brush (2 of 3),VF0.16 (any),VF2.0 (any),AirPuff (2of3),Cold (any),Heat (Any),Cut. Input
438.166,0,0,1,1,,0,0,1
438.167,0,0,1,0,,0,0,1
438.168,0,0,0,0,,0,0,1
438.169,0,0,0,0,,0,0,1
438.170,0,0,0,0,,0,0,1
438.171,0,0,1,1,,0,1,1
438.172,0,0,1,1,,0,0,1
438.173,0,0,0,0,,0,0,1
438.174,0,0,0,1,,0,0,1
438.175,0,0,0,0,,0,1,1
438.176,0,0,0,0,,0,0,1
438.177,0,1,1,0,,0,1,1
438.178,0,1,1,1,,0,1,1
438.179,0,1,0,1,,0,0,1
438.180,0,1,1,1,,0,0,1
438.181,0,0,0,1,,0,0,1
438.182,0,0,1,1,,0,0,1
438.183,0,0,0,0,,0,0,1
438.184,0,0,0,0,,0,0,1
438.185,0,0,0,0,,0,0,1
438.186,0,0,0,1,,0,1,1
438.187,0,0,0,0,,0,0,1
438.188,0,0,0,0,,0,0,1
438.189,0,0,0,0,,1,1,1
438.190,0,0,1,1,,0,0,1
438.191,0,0,0,1,,0,0,1
438.192,0,0,0,1,,0,1,1
438.193,0,1,0,1,,0,1,1
438.194,0,0,0,0,,0,0,1
438.195,0,0,0,0,,0,1,1
438.196,0,0,0,0,,0,0,1
438.197,0,0,0,1,,0,0,1
438.198,0,0,0,0,,0,1,1
438.199,0,0,0,0,,0,0,1
438.200,0,0,0,0,,0,0,1
438.201,0,0,0,0,,0,0,1
438.202,0,0,0,0,,0,0,1
438.203,0,0,0,0,,0,0,1
438.204,0,0,1,1,,0,0,1
438.205,0,0,1,0,,0,0,1
438.206,0,0,0,0,,0,0,1
438.207,0,0,0,1,,0,1,1
438.208,0,0,0,1,,0,0,1
438.209,0,0,0,0,,0,0,1
438.210,0,0,0,0,,0,0,1
438.211,0,0,0,0,,0,0,1
438.212,0,0,0,0,,0,0,1
438.213,0,0,0,1,,0,0,1
438.214,0,0,0,1,,0,0,1
438.215,0,0,0,0,,0,0,1
438.216,0,0,0,0,,0,0,1
438.217,0,0,0,1,,0,1,1
438.218,0,0,0,0,,0,0,1
438.219,0,0,0,0,,0,0,1
