ROI,Oxy,Trhr,GRP ,CCK,SP ,NMB ,NKB ,Oxo
447.231,0,1,0,0,1,1,0,0
447.239,0,0,0,0,0,0,0,1
447.248,0,0,0,0,0,0,1,0
447.259,0,0,0,0,0,1,0,0
447.264,0,0,0,0,1,0,1,0
447.271,0,0,0,0,0,1,0,0
447.274,1,0,0,0,1,0,0,0
447.278,1,0,0,0,1,0,1,1
447.291,0,0,0,1,0,0,0,0
447.299,0,0,0,0,0,1,0,0
447.302,0,0,1,0,1,0,1,0
447.309,0,0,1,0,1,1,0,0
447.312,0,0,0,0,1,0,1,0
447.33,0,0,0,0,1,0,0,0
447.333,1,1,1,0,1,1,1,0
447.338,0,0,0,0,1,0,0,0
447.339,0,0,0,1,0,0,0,0
447.349,0,1,0,0,0,0,0,0
447.35,0,0,0,0,1,1,0,0
447.361,1,1,1,0,0,1,0,0
447.364,0,0,0,1,0,0,0,0
447.365,0,0,1,0,1,0,0,0
447.37,0,0,0,0,1,0,1,0
447.371,0,0,0,0,0,0,1,0
447.382,1,0,0,0,1,1,0,0
447.389,0,0,0,0,1,0,1,0
447.391,1,0,0,0,1,1,1,0
447.395,1,0,0,0,1,0,0,0
447.396,0,1,0,0,1,0,0,0
447.398,1,0,0,0,1,1,1,0
447.402,0,0,0,0,1,0,1,0
447.406,0,1,0,0,0,0,0,0
447.413,0,0,0,0,1,0,1,0
447.419,1,0,0,0,0,0,0,0
447.422,1,0,1,0,1,1,1,0
447.44,1,0,0,0,0,0,0,0
447.441,0,0,0,1,0,0,0,0
447.445,1,0,0,0,1,0,0,0
447.446,0,0,0,0,1,0,0,0
447.448,0,0,1,0,0,0,0,0
447.449,0,0,0,1,0,0,0,0
447.45,0,1,0,0,0,0,0,0
447.452,0,1,0,0,0,0,0,0
447.453,1,1,0,0,0,1,0,0
447.455,0,0,0,0,0,1,0,0
447.456,1,1,1,0,1,1,1,0
447.457,1,1,1,0,1,1,0,0
447.461,1,0,0,0,1,1,1,0
447.472,0,0,0,0,1,0,1,0
447.473,0,0,1,0,0,1,0,0
447.474,0,0,0,0,0,1,1,1
447.492,0,0,0,0,0,1,0,0
444.007,0,0,0,0,1,0,0,0
444.008,0,0,0,0,1,0,0,0
444.011,1,0,0,0,0,0,0,0
444.013,0,0,0,0,0,0,0,1
444.016,0,0,0,0,0,1,0,0
444.021,0,0,0,0,0,0,0,1
444.022,1,0,0,0,0,0,0,0
444.039,0,1,0,0,0,0,0,0
444.048,0,1,0,0,0,0,0,0
444.049,0,1,0,0,0,0,0,0
444.05,1,0,0,0,0,1,0,0
444.051,1,0,1,0,0,1,0,0
444.052,1,0,0,0,1,0,0,1
444.079,0,0,0,0,0,1,0,0
444.087,0,0,1,0,1,1,0,0
444.089,1,0,0,0,1,0,0,0
444.091,0,0,0,0,1,0,0,1
444.092,1,0,0,0,1,0,0,0
444.094,0,1,0,0,0,0,0,0
444.111,0,0,1,0,0,1,0,0
444.126,0,1,0,0,0,0,0,0
444.128,0,0,1,0,1,1,0,0
444.135,0,1,0,0,0,0,0,0
444.139,0,0,0,0,1,0,0,0
444.157,0,0,1,0,0,0,0,0
444.16,1,0,1,0,1,0,0,1
444.165,0,1,0,0,0,0,0,0
444.166,0,0,1,0,1,0,0,0
444.167,0,0,1,0,1,1,0,0
444.173,0,0,0,0,0,1,0,0
444.183,1,0,0,0,0,0,0,0
444.188,0,0,1,0,0,0,0,0
444.189,0,0,1,0,1,0,0,0
444.19,0,0,1,0,0,0,0,0
444.21,1,0,0,1,0,0,0,1
444.214,0,0,1,0,0,0,0,0
444.216,1,0,0,0,0,0,0,0
444.22,1,0,0,1,0,0,0,0
444.226,0,1,0,0,0,0,0,0
444.228,0,0,1,0,1,1,0,0
444.235,0,0,0,0,0,0,0,1
444.236,0,0,1,0,1,0,0,0
444.245,0,0,1,0,1,0,0,0
444.247,0,0,0,0,0,0,0,1
444.249,0,1,0,0,0,0,0,0
444.262,0,1,0,0,0,0,0,0
444.263,0,1,0,0,0,0,0,0
444.265,1,0,0,0,0,1,0,0
444.266,0,1,0,0,0,0,0,0
